Source Node,Destination Node,Node Type,Flow Capacity,Distance Between Nodes
Estación de Bombeo de Atarjea,Hogar Breña 1,Consumption Point,48580,275
Estación de Bombeo de Atarjea,Hogar Breña 2,Consumption Point,22709,415
Estación de Bombeo de Atarjea,Hogar Breña 3,Consumption Point,49974,351
Estación de Bombeo de Atarjea,Hogar Breña 4,Consumption Point,31098,434
Estación de Bombeo de Atarjea,Hogar Breña 5,Consumption Point,44307,174
Estación de Bombeo de Atarjea,Hogar Breña 6,Consumption Point,25790,135
Estación de Bombeo de Atarjea,Hogar Breña 7,Consumption Point,57543,329
Estación de Bombeo de Atarjea,Hogar Breña 8,Consumption Point,51940,130
Estación de Bombeo de Atarjea,Hogar Breña 9,Consumption Point,47212,306
Estación de Bombeo de Atarjea,Hogar Breña 10,Consumption Point,46775,467
Estación de Bombeo de Atarjea,Hogar Breña 11,Consumption Point,49403,399
Estación de Bombeo de Atarjea,Hogar Breña 12,Consumption Point,43731,131
Estación de Bombeo de Atarjea,Hogar Breña 13,Consumption Point,42128,365
Estación de Bombeo de Atarjea,Hogar Breña 14,Consumption Point,58593,258
Estación de Bombeo de Atarjea,Hogar Breña 15,Consumption Point,32546,190
Estación de Bombeo de Atarjea,Hogar Breña 16,Consumption Point,50928,251
Estación de Bombeo de Atarjea,Hogar Breña 17,Consumption Point,21013,435
Estación de Bombeo de Atarjea,Hogar Breña 18,Consumption Point,49776,452
Estación de Bombeo de Atarjea,Hogar Breña 19,Consumption Point,25649,298
Estación de Bombeo de Atarjea,Hogar Breña 20,Consumption Point,28790,234
Estación de Bombeo de Atarjea,Hogar Breña 21,Consumption Point,22066,165
Estación de Bombeo de Atarjea,Hogar Breña 22,Consumption Point,51416,259
Estación de Bombeo de Atarjea,Hogar Breña 23,Consumption Point,43565,377
Estación de Bombeo de Atarjea,Hogar Breña 24,Consumption Point,54671,344
Estación de Bombeo de Atarjea,Hogar Breña 25,Consumption Point,58412,214
Estación de Bombeo de Atarjea,Hogar Breña 26,Consumption Point,37754,464
Estación de Bombeo de Atarjea,Hogar Breña 27,Consumption Point,40822,404
Estación de Bombeo de Atarjea,Hogar Breña 28,Consumption Point,20903,282
Estación de Bombeo de Atarjea,Hogar Breña 29,Consumption Point,32191,252
Estación de Bombeo de Atarjea,Hogar Breña 30,Consumption Point,26290,230
Estación de Bombeo de Atarjea,Hogar Breña 31,Consumption Point,39352,141
Estación de Bombeo de Atarjea,Hogar Breña 32,Consumption Point,38215,487
Estación de Bombeo de Atarjea,Hogar Breña 33,Consumption Point,38242,115
Estación de Bombeo de Atarjea,Hogar Breña 34,Consumption Point,35489,312
Estación de Bombeo de Atarjea,Hogar Breña 35,Consumption Point,53682,299
Estación de Bombeo de Atarjea,Hogar Breña 36,Consumption Point,24665,247
Estación de Bombeo de Atarjea,Hogar Breña 37,Consumption Point,50056,347
Estación de Bombeo de Atarjea,Hogar Breña 38,Consumption Point,34174,459
Estación de Bombeo de Atarjea,Hogar Breña 39,Consumption Point,46285,410
Estación de Bombeo de Atarjea,Hogar Breña 40,Consumption Point,40894,261
Estación de Bombeo de Atarjea,Hogar La Victoria 1,Consumption Point,29268,213
Estación de Bombeo de Atarjea,Hogar La Victoria 2,Consumption Point,33556,132
Estación de Bombeo de Atarjea,Hogar La Victoria 3,Consumption Point,26681,181
Estación de Bombeo de Atarjea,Hogar La Victoria 4,Consumption Point,59088,404
Estación de Bombeo de Atarjea,Hogar La Victoria 5,Consumption Point,36431,271
Estación de Bombeo de Atarjea,Hogar La Victoria 6,Consumption Point,51247,148
Estación de Bombeo de Atarjea,Hogar La Victoria 7,Consumption Point,37378,192
Estación de Bombeo de Atarjea,Hogar La Victoria 8,Consumption Point,24071,490
Estación de Bombeo de Atarjea,Hogar La Victoria 9,Consumption Point,53657,349
Estación de Bombeo de Atarjea,Hogar La Victoria 10,Consumption Point,28195,211
Estación de Bombeo de Atarjea,Hogar La Victoria 11,Consumption Point,22757,479
Estación de Bombeo de Atarjea,Hogar La Victoria 12,Consumption Point,27851,443
Estación de Bombeo de Atarjea,Hogar La Victoria 13,Consumption Point,47908,292
Estación de Bombeo de Atarjea,Hogar La Victoria 14,Consumption Point,35322,292
Estación de Bombeo de Atarjea,Hogar La Victoria 15,Consumption Point,58374,403
Estación de Bombeo de Atarjea,Hogar La Victoria 16,Consumption Point,35428,442
Estación de Bombeo de Atarjea,Hogar La Victoria 17,Consumption Point,57535,164
Estación de Bombeo de Atarjea,Hogar La Victoria 18,Consumption Point,24233,240
Estación de Bombeo de Atarjea,Hogar La Victoria 19,Consumption Point,51372,150
Estación de Bombeo de Atarjea,Hogar La Victoria 20,Consumption Point,25914,126
Estación de Bombeo de Atarjea,Hogar La Victoria 21,Consumption Point,48562,248
Estación de Bombeo de Atarjea,Hogar La Victoria 22,Consumption Point,43825,199
Estación de Bombeo de Atarjea,Hogar La Victoria 23,Consumption Point,54220,358
Estación de Bombeo de Atarjea,Hogar La Victoria 24,Consumption Point,43150,430
Estación de Bombeo de Atarjea,Hogar La Victoria 25,Consumption Point,57390,225
Estación de Bombeo de Atarjea,Hogar La Victoria 26,Consumption Point,23442,478
Estación de Bombeo de Atarjea,Hogar La Victoria 27,Consumption Point,40391,359
Estación de Bombeo de Atarjea,Hogar La Victoria 28,Consumption Point,59264,450
Estación de Bombeo de Atarjea,Hogar La Victoria 29,Consumption Point,30149,305
Estación de Bombeo de Atarjea,Hogar La Victoria 30,Consumption Point,28986,263
Estación de Bombeo de Atarjea,Hogar La Victoria 31,Consumption Point,39266,206
Estación de Bombeo de Atarjea,Hogar La Victoria 32,Consumption Point,55560,110
Estación de Bombeo de Atarjea,Hogar La Victoria 33,Consumption Point,30485,461
Estación de Bombeo de Atarjea,Hogar La Victoria 34,Consumption Point,45094,186
Estación de Bombeo de Atarjea,Hogar La Victoria 35,Consumption Point,58792,418
Estación de Bombeo de Atarjea,Hogar La Victoria 36,Consumption Point,29065,180
Estación de Bombeo de Atarjea,Hogar La Victoria 37,Consumption Point,40783,130
Estación de Bombeo de Atarjea,Hogar La Victoria 38,Consumption Point,57286,317
Estación de Bombeo de Atarjea,Hogar La Victoria 39,Consumption Point,22897,167
Estación de Bombeo de Atarjea,Hogar La Victoria 40,Consumption Point,33265,333
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 1,Consumption Point,47161,410
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 2,Consumption Point,24749,243
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 3,Consumption Point,59645,278
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 4,Consumption Point,30823,363
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 5,Consumption Point,56842,415
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 6,Consumption Point,51662,274
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 7,Consumption Point,30414,310
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 8,Consumption Point,20756,499
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 9,Consumption Point,44176,411
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 10,Consumption Point,20620,375
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 11,Consumption Point,41865,240
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 12,Consumption Point,26655,465
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 13,Consumption Point,20989,152
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 14,Consumption Point,45382,171
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 15,Consumption Point,53286,371
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 16,Consumption Point,29754,297
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 17,Consumption Point,57218,234
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 18,Consumption Point,34980,206
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 19,Consumption Point,47452,185
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 20,Consumption Point,54415,116
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 21,Consumption Point,57011,331
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 22,Consumption Point,34545,181
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 23,Consumption Point,40683,298
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 24,Consumption Point,47892,412
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 25,Consumption Point,58386,487
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 26,Consumption Point,56504,171
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 27,Consumption Point,37914,109
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 28,Consumption Point,56126,349
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 29,Consumption Point,27966,282
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 30,Consumption Point,34631,256
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 31,Consumption Point,49419,442
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 32,Consumption Point,24046,181
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 33,Consumption Point,29338,257
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 34,Consumption Point,24072,241
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 35,Consumption Point,27608,296
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 36,Consumption Point,38825,317
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 37,Consumption Point,49239,176
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 38,Consumption Point,33540,251
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 39,Consumption Point,31147,109
Estación de Bombeo de Atarjea,Hogar Cercado de Lima 40,Consumption Point,49997,138
Estación de Bombeo de Atarjea,Hogar Rímac 1,Consumption Point,26974,158
Estación de Bombeo de Atarjea,Hogar Rímac 2,Consumption Point,42215,251
Estación de Bombeo de Atarjea,Hogar Rímac 3,Consumption Point,35464,459
Estación de Bombeo de Atarjea,Hogar Rímac 4,Consumption Point,30616,221
Estación de Bombeo de Atarjea,Hogar Rímac 5,Consumption Point,24467,477
Estación de Bombeo de Atarjea,Hogar Rímac 6,Consumption Point,50933,285
Estación de Bombeo de Atarjea,Hogar Rímac 7,Consumption Point,59535,149
Estación de Bombeo de Atarjea,Hogar Rímac 8,Consumption Point,21427,133
Estación de Bombeo de Atarjea,Hogar Rímac 9,Consumption Point,30883,440
Estación de Bombeo de Atarjea,Hogar Rímac 10,Consumption Point,55921,250
Estación de Bombeo de Atarjea,Hogar Rímac 11,Consumption Point,54957,423
Estación de Bombeo de Atarjea,Hogar Rímac 12,Consumption Point,20800,109
Estación de Bombeo de Atarjea,Hogar Rímac 13,Consumption Point,51148,377
Estación de Bombeo de Atarjea,Hogar Rímac 14,Consumption Point,38746,236
Estación de Bombeo de Atarjea,Hogar Rímac 15,Consumption Point,45829,182
Estación de Bombeo de Atarjea,Hogar Rímac 16,Consumption Point,42705,192
Estación de Bombeo de Atarjea,Hogar Rímac 17,Consumption Point,24064,336
Estación de Bombeo de Atarjea,Hogar Rímac 18,Consumption Point,34031,307
Estación de Bombeo de Atarjea,Hogar Rímac 19,Consumption Point,24664,120
Estación de Bombeo de Atarjea,Hogar Rímac 20,Consumption Point,51021,449
Estación de Bombeo de Atarjea,Hogar Rímac 21,Consumption Point,39768,421
Estación de Bombeo de Atarjea,Hogar Rímac 22,Consumption Point,43355,330
Estación de Bombeo de Atarjea,Hogar Rímac 23,Consumption Point,26941,119
Estación de Bombeo de Atarjea,Hogar Rímac 24,Consumption Point,26555,354
Estación de Bombeo de Atarjea,Hogar Rímac 25,Consumption Point,35320,232
Estación de Bombeo de Atarjea,Hogar Rímac 26,Consumption Point,58099,282
Estación de Bombeo de Atarjea,Hogar Rímac 27,Consumption Point,54289,410
Estación de Bombeo de Atarjea,Hogar Rímac 28,Consumption Point,25281,193
Estación de Bombeo de Atarjea,Hogar Rímac 29,Consumption Point,57376,449
Estación de Bombeo de Atarjea,Hogar Rímac 30,Consumption Point,37521,271
Estación de Bombeo de Atarjea,Hogar Rímac 31,Consumption Point,38778,491
Estación de Bombeo de Atarjea,Hogar Rímac 32,Consumption Point,42104,304
Estación de Bombeo de Atarjea,Hogar Rímac 33,Consumption Point,55654,194
Estación de Bombeo de Atarjea,Hogar Rímac 34,Consumption Point,45053,140
Estación de Bombeo de Atarjea,Hogar Rímac 35,Consumption Point,57838,459
Estación de Bombeo de Atarjea,Hogar Rímac 36,Consumption Point,48787,238
Estación de Bombeo de Atarjea,Hogar Rímac 37,Consumption Point,33348,440
Estación de Bombeo de Atarjea,Hogar Rímac 38,Consumption Point,54263,317
Estación de Bombeo de Atarjea,Hogar Rímac 39,Consumption Point,30160,271
Estación de Bombeo de Atarjea,Hogar Rímac 40,Consumption Point,29466,214
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 1,Consumption Point,43014,260
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 2,Consumption Point,44189,275
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 3,Consumption Point,37855,474
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 4,Consumption Point,50243,305
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 5,Consumption Point,57417,439
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 6,Consumption Point,51244,483
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 7,Consumption Point,35436,135
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 8,Consumption Point,58795,486
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 9,Consumption Point,59771,176
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 10,Consumption Point,52841,293
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 11,Consumption Point,49977,469
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 12,Consumption Point,40524,335
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 13,Consumption Point,47118,469
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 14,Consumption Point,29269,347
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 15,Consumption Point,26012,431
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 16,Consumption Point,48218,261
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 17,Consumption Point,37787,288
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 18,Consumption Point,44237,137
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 19,Consumption Point,51830,341
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 20,Consumption Point,28602,300
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 21,Consumption Point,33110,463
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 22,Consumption Point,35784,160
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 23,Consumption Point,20688,256
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 24,Consumption Point,46592,479
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 25,Consumption Point,30693,437
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 26,Consumption Point,47634,116
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 27,Consumption Point,57035,206
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 28,Consumption Point,48150,167
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 29,Consumption Point,51634,291
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 30,Consumption Point,37138,384
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 31,Consumption Point,49672,483
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 32,Consumption Point,54010,333
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 33,Consumption Point,23741,296
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 34,Consumption Point,56539,297
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 35,Consumption Point,47769,145
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 36,Consumption Point,27540,179
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 37,Consumption Point,44152,450
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 38,Consumption Point,52206,150
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 39,Consumption Point,39408,309
Estación de Bombeo de Huachipa,Hogar San Juan de Lurigancho 40,Consumption Point,31667,176
Estación de Bombeo de Huachipa,Hogar La Molina 1,Consumption Point,43544,392
Estación de Bombeo de Huachipa,Hogar La Molina 2,Consumption Point,27996,113
Estación de Bombeo de Huachipa,Hogar La Molina 3,Consumption Point,48042,183
Estación de Bombeo de Huachipa,Hogar La Molina 4,Consumption Point,46699,286
Estación de Bombeo de Huachipa,Hogar La Molina 5,Consumption Point,48284,239
Estación de Bombeo de Huachipa,Hogar La Molina 6,Consumption Point,40561,131
Estación de Bombeo de Huachipa,Hogar La Molina 7,Consumption Point,43347,395
Estación de Bombeo de Huachipa,Hogar La Molina 8,Consumption Point,54238,335
Estación de Bombeo de Huachipa,Hogar La Molina 9,Consumption Point,24691,476
Estación de Bombeo de Huachipa,Hogar La Molina 10,Consumption Point,38533,455
Estación de Bombeo de Huachipa,Hogar La Molina 11,Consumption Point,25769,139
Estación de Bombeo de Huachipa,Hogar La Molina 12,Consumption Point,45291,205
Estación de Bombeo de Huachipa,Hogar La Molina 13,Consumption Point,38073,340
Estación de Bombeo de Huachipa,Hogar La Molina 14,Consumption Point,20509,127
Estación de Bombeo de Huachipa,Hogar La Molina 15,Consumption Point,45135,243
Estación de Bombeo de Huachipa,Hogar La Molina 16,Consumption Point,37973,387
Estación de Bombeo de Huachipa,Hogar La Molina 17,Consumption Point,40368,248
Estación de Bombeo de Huachipa,Hogar La Molina 18,Consumption Point,46798,498
Estación de Bombeo de Huachipa,Hogar La Molina 19,Consumption Point,26142,339
Estación de Bombeo de Huachipa,Hogar La Molina 20,Consumption Point,46826,211
Estación de Bombeo de Huachipa,Hogar La Molina 21,Consumption Point,40265,404
Estación de Bombeo de Huachipa,Hogar La Molina 22,Consumption Point,50032,285
Estación de Bombeo de Huachipa,Hogar La Molina 23,Consumption Point,41659,123
Estación de Bombeo de Huachipa,Hogar La Molina 24,Consumption Point,42997,270
Estación de Bombeo de Huachipa,Hogar La Molina 25,Consumption Point,32031,458
Estación de Bombeo de Huachipa,Hogar La Molina 26,Consumption Point,42683,263
Estación de Bombeo de Huachipa,Hogar La Molina 27,Consumption Point,29488,381
Estación de Bombeo de Huachipa,Hogar La Molina 28,Consumption Point,21554,369
Estación de Bombeo de Huachipa,Hogar La Molina 29,Consumption Point,54953,153
Estación de Bombeo de Huachipa,Hogar La Molina 30,Consumption Point,42039,172
Estación de Bombeo de Huachipa,Hogar La Molina 31,Consumption Point,46198,185
Estación de Bombeo de Huachipa,Hogar La Molina 32,Consumption Point,58026,388
Estación de Bombeo de Huachipa,Hogar La Molina 33,Consumption Point,20513,270
Estación de Bombeo de Huachipa,Hogar La Molina 34,Consumption Point,41885,127
Estación de Bombeo de Huachipa,Hogar La Molina 35,Consumption Point,49903,223
Estación de Bombeo de Huachipa,Hogar La Molina 36,Consumption Point,50510,412
Estación de Bombeo de Huachipa,Hogar La Molina 37,Consumption Point,52054,115
Estación de Bombeo de Huachipa,Hogar La Molina 38,Consumption Point,41920,253
Estación de Bombeo de Huachipa,Hogar La Molina 39,Consumption Point,51109,210
Estación de Bombeo de Huachipa,Hogar La Molina 40,Consumption Point,42306,116
Estación de Bombeo de Huachipa,Hogar Ate 1,Consumption Point,49784,473
Estación de Bombeo de Huachipa,Hogar Ate 2,Consumption Point,41190,469
Estación de Bombeo de Huachipa,Hogar Ate 3,Consumption Point,40645,405
Estación de Bombeo de Huachipa,Hogar Ate 4,Consumption Point,53611,483
Estación de Bombeo de Huachipa,Hogar Ate 5,Consumption Point,21941,214
Estación de Bombeo de Huachipa,Hogar Ate 6,Consumption Point,22004,346
Estación de Bombeo de Huachipa,Hogar Ate 7,Consumption Point,27492,360
Estación de Bombeo de Huachipa,Hogar Ate 8,Consumption Point,46891,348
Estación de Bombeo de Huachipa,Hogar Ate 9,Consumption Point,30972,304
Estación de Bombeo de Huachipa,Hogar Ate 10,Consumption Point,30471,385
Estación de Bombeo de Huachipa,Hogar Ate 11,Consumption Point,27409,113
Estación de Bombeo de Huachipa,Hogar Ate 12,Consumption Point,54902,101
Estación de Bombeo de Huachipa,Hogar Ate 13,Consumption Point,59147,376
Estación de Bombeo de Huachipa,Hogar Ate 14,Consumption Point,38441,360
Estación de Bombeo de Huachipa,Hogar Ate 15,Consumption Point,30903,466
Estación de Bombeo de Huachipa,Hogar Ate 16,Consumption Point,59622,200
Estación de Bombeo de Huachipa,Hogar Ate 17,Consumption Point,36308,482
Estación de Bombeo de Huachipa,Hogar Ate 18,Consumption Point,44531,338
Estación de Bombeo de Huachipa,Hogar Ate 19,Consumption Point,31554,280
Estación de Bombeo de Huachipa,Hogar Ate 20,Consumption Point,45622,429
Estación de Bombeo de Huachipa,Hogar Ate 21,Consumption Point,53264,237
Estación de Bombeo de Huachipa,Hogar Ate 22,Consumption Point,45854,265
Estación de Bombeo de Huachipa,Hogar Ate 23,Consumption Point,39558,446
Estación de Bombeo de Huachipa,Hogar Ate 24,Consumption Point,32083,359
Estación de Bombeo de Huachipa,Hogar Ate 25,Consumption Point,23836,435
Estación de Bombeo de Huachipa,Hogar Ate 26,Consumption Point,49323,464
Estación de Bombeo de Huachipa,Hogar Ate 27,Consumption Point,41063,410
Estación de Bombeo de Huachipa,Hogar Ate 28,Consumption Point,40460,164
Estación de Bombeo de Huachipa,Hogar Ate 29,Consumption Point,27567,441
Estación de Bombeo de Huachipa,Hogar Ate 30,Consumption Point,46539,490
Estación de Bombeo de Huachipa,Hogar Ate 31,Consumption Point,34608,116
Estación de Bombeo de Huachipa,Hogar Ate 32,Consumption Point,26365,191
Estación de Bombeo de Huachipa,Hogar Ate 33,Consumption Point,31480,383
Estación de Bombeo de Huachipa,Hogar Ate 34,Consumption Point,26737,367
Estación de Bombeo de Huachipa,Hogar Ate 35,Consumption Point,49489,438
Estación de Bombeo de Huachipa,Hogar Ate 36,Consumption Point,28515,159
Estación de Bombeo de Huachipa,Hogar Ate 37,Consumption Point,25717,243
Estación de Bombeo de Huachipa,Hogar Ate 38,Consumption Point,40701,481
Estación de Bombeo de Huachipa,Hogar Ate 39,Consumption Point,58922,177
Estación de Bombeo de Huachipa,Hogar Ate 40,Consumption Point,44491,266
Estación de Bombeo de Huachipa,Hogar Santa Anita 1,Consumption Point,20249,273
Estación de Bombeo de Huachipa,Hogar Santa Anita 2,Consumption Point,46983,349
Estación de Bombeo de Huachipa,Hogar Santa Anita 3,Consumption Point,26787,303
Estación de Bombeo de Huachipa,Hogar Santa Anita 4,Consumption Point,54209,260
Estación de Bombeo de Huachipa,Hogar Santa Anita 5,Consumption Point,35300,420
Estación de Bombeo de Huachipa,Hogar Santa Anita 6,Consumption Point,25585,127
Estación de Bombeo de Huachipa,Hogar Santa Anita 7,Consumption Point,30738,430
Estación de Bombeo de Huachipa,Hogar Santa Anita 8,Consumption Point,50634,419
Estación de Bombeo de Huachipa,Hogar Santa Anita 9,Consumption Point,31458,491
Estación de Bombeo de Huachipa,Hogar Santa Anita 10,Consumption Point,20507,104
Estación de Bombeo de Huachipa,Hogar Santa Anita 11,Consumption Point,53376,282
Estación de Bombeo de Huachipa,Hogar Santa Anita 12,Consumption Point,29654,222
Estación de Bombeo de Huachipa,Hogar Santa Anita 13,Consumption Point,52593,340
Estación de Bombeo de Huachipa,Hogar Santa Anita 14,Consumption Point,57758,190
Estación de Bombeo de Huachipa,Hogar Santa Anita 15,Consumption Point,33385,474
Estación de Bombeo de Huachipa,Hogar Santa Anita 16,Consumption Point,54642,438
Estación de Bombeo de Huachipa,Hogar Santa Anita 17,Consumption Point,29728,248
Estación de Bombeo de Huachipa,Hogar Santa Anita 18,Consumption Point,54815,344
Estación de Bombeo de Huachipa,Hogar Santa Anita 19,Consumption Point,46221,470
Estación de Bombeo de Huachipa,Hogar Santa Anita 20,Consumption Point,37072,393
Estación de Bombeo de Huachipa,Hogar Santa Anita 21,Consumption Point,41777,329
Estación de Bombeo de Huachipa,Hogar Santa Anita 22,Consumption Point,52717,295
Estación de Bombeo de Huachipa,Hogar Santa Anita 23,Consumption Point,33101,100
Estación de Bombeo de Huachipa,Hogar Santa Anita 24,Consumption Point,38352,135
Estación de Bombeo de Huachipa,Hogar Santa Anita 25,Consumption Point,29261,456
Estación de Bombeo de Huachipa,Hogar Santa Anita 26,Consumption Point,22589,276
Estación de Bombeo de Huachipa,Hogar Santa Anita 27,Consumption Point,48108,484
Estación de Bombeo de Huachipa,Hogar Santa Anita 28,Consumption Point,38647,367
Estación de Bombeo de Huachipa,Hogar Santa Anita 29,Consumption Point,43641,143
Estación de Bombeo de Huachipa,Hogar Santa Anita 30,Consumption Point,25079,374
Estación de Bombeo de Huachipa,Hogar Santa Anita 31,Consumption Point,28442,266
Estación de Bombeo de Huachipa,Hogar Santa Anita 32,Consumption Point,36518,184
Estación de Bombeo de Huachipa,Hogar Santa Anita 33,Consumption Point,54318,460
Estación de Bombeo de Huachipa,Hogar Santa Anita 34,Consumption Point,34111,169
Estación de Bombeo de Huachipa,Hogar Santa Anita 35,Consumption Point,23311,363
Estación de Bombeo de Huachipa,Hogar Santa Anita 36,Consumption Point,32507,215
Estación de Bombeo de Huachipa,Hogar Santa Anita 37,Consumption Point,24658,339
Estación de Bombeo de Huachipa,Hogar Santa Anita 38,Consumption Point,51170,217
Estación de Bombeo de Huachipa,Hogar Santa Anita 39,Consumption Point,37862,401
Estación de Bombeo de Huachipa,Hogar Santa Anita 40,Consumption Point,22329,375
Estación de Bombeo de Huachipa,Hogar Cieneguilla 1,Consumption Point,49444,366
Estación de Bombeo de Huachipa,Hogar Cieneguilla 2,Consumption Point,31412,294
Estación de Bombeo de Huachipa,Hogar Cieneguilla 3,Consumption Point,36445,476
Estación de Bombeo de Huachipa,Hogar Cieneguilla 4,Consumption Point,36774,493
Estación de Bombeo de Huachipa,Hogar Cieneguilla 5,Consumption Point,25540,249
Estación de Bombeo de Huachipa,Hogar Cieneguilla 6,Consumption Point,25013,221
Estación de Bombeo de Huachipa,Hogar Cieneguilla 7,Consumption Point,42215,436
Estación de Bombeo de Huachipa,Hogar Cieneguilla 8,Consumption Point,44658,426
Estación de Bombeo de Huachipa,Hogar Cieneguilla 9,Consumption Point,44788,390
Estación de Bombeo de Huachipa,Hogar Cieneguilla 10,Consumption Point,28417,369
Estación de Bombeo de Huachipa,Hogar Cieneguilla 11,Consumption Point,46594,159
Estación de Bombeo de Huachipa,Hogar Cieneguilla 12,Consumption Point,49172,427
Estación de Bombeo de Huachipa,Hogar Cieneguilla 13,Consumption Point,46463,195
Estación de Bombeo de Huachipa,Hogar Cieneguilla 14,Consumption Point,53906,215
Estación de Bombeo de Huachipa,Hogar Cieneguilla 15,Consumption Point,47021,301
Estación de Bombeo de Huachipa,Hogar Cieneguilla 16,Consumption Point,29905,174
Estación de Bombeo de Huachipa,Hogar Cieneguilla 17,Consumption Point,26042,217
Estación de Bombeo de Huachipa,Hogar Cieneguilla 18,Consumption Point,22944,103
Estación de Bombeo de Huachipa,Hogar Cieneguilla 19,Consumption Point,20491,175
Estación de Bombeo de Huachipa,Hogar Cieneguilla 20,Consumption Point,21927,229
Estación de Bombeo de Huachipa,Hogar Cieneguilla 21,Consumption Point,23110,248
Estación de Bombeo de Huachipa,Hogar Cieneguilla 22,Consumption Point,52874,402
Estación de Bombeo de Huachipa,Hogar Cieneguilla 23,Consumption Point,32968,431
